"pop2023","pop2022","pop2020","pop2010","growth","usps","geoid","ansicode","name","lsad","funcstat","aland","awater","aland_sqmi","awater_sqmi","intptlat","intptlong","slug","metroId","countyfips","rank","density"
7888121,8172684,8772978,8175133,-0.03482,"NY",3651000,2395220,"New York City","2",0,777983000,434642000,300.381,167.816,40.6635,-73.9387,"new-york-city-ny",35620,"36061",1,26260
3769485,3809182,3889834,3792621,-0.01042,"CA",644000,2410877,"Los Angeles","2",0,1214590000,87468500,468.956,33.772,34.0194,-118.411,"los-angeles-ca",31080,"6037",2,8038
2608425,2652124,2741730,2695598,-0.01648,"IL",1714000,428803,"Chicago","2",0,588882000,17621500,227.369,6.804,41.8376,-87.6818,"chicago-il",16980,"17031",3,11472
2264876,2276533,2300027,2099451,-0.00512,"TX",4835000,2410796,"Houston","2",0,1658090000,81248100,640.194,31.37,29.7857,-95.3888,"houston-tx",26420,"48201|48157|48339",4,3538
1651344,1637902,1611345,1445632,0.00821,"AZ",455000,2411414,"Phoenix","2",0,1340770000,3236740,517.673,1.25,33.5722,-112.09,"phoenix-az",38060,"4013",5,3190
1527886,1551880,1601005,1526006,-0.01546,"PA",4260000,1215531,"Philadelphia","2",0,347782000,21806100,134.279,8.419,40.0094,-75.1333,"philadelphia-pa",37980,"42101",6,11378
1479493,1465608,1438227,1327407,0.00947,"TX",4865000,2411774,"San Antonio","2",0,1256440000,14515600,485.113,5.605,29.4659,-98.5247,"san-antonio-tx",41700,"48029|48325",7,3050
1374076,1377838,1385394,1307402,-0.00273,"CA",666000,2411782,"San Diego","2",0,844018000,120537000,325.877,46.54,32.815,-117.136,"san-diego-ca",41740,"6073",8,4217
1259404,1273848,1303234,1197816,-0.01134,"TX",4819000,2410288,"Dallas","2",0,879911000,115783000,339.736,44.704,32.7933,-96.7665,"dallas-tx",19100,"48113|48085|48121|48257|48397",9,3707
966292,965234,963121,790390,0.0011,"TX",4805000,2409761,"Austin","2",0,828638000,17024700,319.939,6.573,30.3012,-97.7527,"austin-tx",12420,"48453|48491|48209",10,3020
962970,958783,950463,821784,0.00437,"FL",1235000,2404783,"Jacksonville","2",0,1935930000,329458000,747.467,127.204,30.3369,-81.6616,"jacksonville-fl",27260,"12031",11,1288
961885,948605,922592,741206,0.014,"TX",4827000,2410531,"Fort Worth","2",0,895059000,21698300,345.584,8.378,32.7815,-97.3467,"fort-worth-tx",19100,"48439|48121|48497|48367",12,2783
930862,956814,1010908,945942,-0.02712,"CA",668000,2411790,"San Jose","2",0,460521000,8129850,177.808,3.139,37.2967,-121.819,"san-jose-ca",41940,"6085",13,5235
907865,907196,905860,787033,0.00074,"OH",3918000,1086101,"Columbus","2",0,567718000,15174700,219.197,5.859,39.9852,-82.9848,"columbus-oh",18140,"39049|39045|39041",14,4142
885663,882681,876747,731424,0.00338,"NC",3712000,2404032,"Charlotte","2",0,795744000,5151780,307.238,1.989,35.2079,-80.8301,"charlotte-nc",16740,"37119",15,2883
871449,876728,887382,820445,-0.00602,"IN",1836003,2395424,"Indianapolis","0",0,936465000,16419900,361.571,6.34,39.7767,-86.1459,"indianapolis-in",26900,"18097",16,2410
725487,729691,738172,608660,-0.00576,"WA",5363000,2411856,"Seattle","2",0,217201000,150761000,83.862,58.209,47.6194,-122.351,"seattle-wa",42660,"53033",17,8651
715717,763841,870014,805235,-0.063,"CA",667000,2411786,"San Francisco","2",0,121478000,479115000,46.903,184.987,37.7272,-123.032,"san-francisco-ca",41860,"6075",18,15260
699288,705349,717630,600158,-0.00859,"CO",820000,2410324,"Denver","2",0,397025000,4245400,153.292,1.639,39.7618,-104.881,"denver-co",19740,"8031",19,4562
697763,692726,682760,579999,0.00727,"OK",4055000,2411311,"Oklahoma City","2",0,1570680000,37116500,606.445,14.331,35.4671,-97.5137,"oklahoma-city-ok",36420,"40109|40027|40017|40125",20,1151
678049,678232,678598,649121,-0.00027,"TX",4824000,2410414,"El Paso","2",0,666715000,2089730,257.42,0.807,31.8478,-106.431,"el-paso-tx",21340,"48141",21,2634
658525,668611,689248,601222,-0.01509,"TN",4752006,2405092,"Nashville","0",0,1231650000,56229800,475.543,21.71,36.1718,-86.785,"nashville-tn",34980,"47037",22,1385
653843,650307,643292,583756,0.00544,"NV",3240000,2411630,"Las Vegas","2",0,367175000,138524,141.767,0.053,36.2335,-115.264,"las-vegas-nv",29820,"32003",23,4612
631693,650589,690093,601723,-0.02904,"DC",1150000,2390665,"Washington","2",0,158340000,18687200,61.136,7.215,38.9042,-77.0165,"washington-dc",47900,"11001",24,10333
621777,624944,631326,646889,-0.00507,"TN",4748000,2405068,"Memphis","2",0,821950000,23284400,317.357,8.99,35.1028,-89.9774,"memphis-tn",32820,"47157",25,1959
621764,625170,632037,597337,-0.00545,"KY",2148006,1967434,"Louisville","0",0,682291000,30626100,263.434,11.825,38.1654,-85.6474,"louisville-ky",31140,"21111",26,2360
621193,626803,638176,713777,-0.00895,"MI",2622000,1626181,"Detroit","2",0,359269000,10807700,138.715,4.173,42.383,-83.1022,"detroit-mi",19820,"26163",27,4478
619286,630129,652388,583776,-0.01721,"OR",4159000,2411471,"Portland","2",0,345558000,29925600,133.421,11.554,45.5369,-122.65,"portland-or",38900,"41051|41067|41005",28,4642
617459,635844,674272,617594,-0.02891,"MA",2507000,619463,"Boston","2",0,125197000,106914000,48.339,41.28,42.3386,-71.0182,"boston-ma",0,"25025",29,12774
563455,569939,583132,620961,-0.01138,"MD",2404000,1702381,"Baltimore","2",0,209651000,28758700,80.947,11.104,39.3,-76.6105,"baltimore-md",12580,"24510",30,6961
558523,560557,564648,545852,-0.00363,"NM",3502000,2409678,"Albuquerque","2",0,484883000,4290890,187.215,1.657,35.1048,-106.647,"albuquerque-nm",10740,"35001",31,2983
555640,562443,576301,594833,-0.0121,"WI",5553000,1583724,"Milwaukee","2",0,249115000,1634100,96.184,0.631,43.0633,-87.9667,"milwaukee-wi",33340,"55079",32,5777
549242,546871,542159,494665,0.00434,"CA",627000,2410546,"Fresno","2",0,297136000,3127480,114.725,1.208,36.7827,-119.794,"fresno-ca",23420,"6019",33,4787
546019,544629,541859,520116,0.00255,"AZ",477000,2412104,"Tucson","2",0,616454000,819364,238.014,0.316,32.153,-110.871,"tucson-az",46060,"4019",34,2294
528306,526671,523416,466488,0.0031,"CA",664000,2411751,"Sacramento","2",0,253119000,5591300,97.73,2.159,38.5666,-121.469,"sacramento-ca",40900,"6067",35,5406
516783,513116,505860,439041,0.00715,"AZ",446000,2411087,"Mesa","2",0,357639000,1955880,138.085,0.755,33.402,-111.718,"mesa-az",38060,"4013",36,3742
